epoch,acc,loss,lr,val_acc,val_loss
0,0.5813953523025956,12.58450760952262,0.001,0.45,20.523414611816406
1,0.6162790628366692,12.438377912654433,0.001,0.45000000298023224,20.431666564941406
2,0.78125,12.020917574564615,0.001,0.45,20.30938606262207
3,0.8139534828274749,11.893879624300224,0.001,0.45000000298023224,20.16109390258789
4,0.8488372120746347,11.658445602239565,0.001,0.45,19.992737579345704
5,0.75,11.533501307169596,0.001,0.45,19.808738708496094
6,0.7790697618972423,11.291326411934786,0.001,0.45,19.61300163269043
7,0.7674418549204982,11.110725336296614,0.001,0.45000000298023224,19.408427429199218
8,0.8139534953028656,10.861413046371105,0.001,0.45000000298023224,19.197591018676757
9,0.8645833333333334,10.595842997233072,0.001,0.45,18.81612434387207
10,0.7209302381027577,10.578809117161951,0.001,0.45,18.656996536254884
11,0.7790697702141696,10.277554112811421,0.001,0.45,17.99223861694336
12,0.7906976730324501,10.055187868517498,0.001,0.45000000298023224,16.86357002258301
13,0.8720930301865866,9.735905248065327,0.001,0.45000000298023224,16.157202911376952
14,0.84375,9.53260580698649,0.001,0.45,16.423519325256347
15,0.848837207916171,9.296018910962482,0.001,0.45000000298023224,16.753929615020752
16,0.8604651232098424,9.072734167409498,0.001,0.45,17.390322494506837
17,0.8488372120746347,8.88094039295995,0.001,0.45000000298023224,17.161578941345216
18,0.8604651148929152,8.650030113929926,0.001,0.45000000298023224,17.078459072113038
19,0.9166666666666666,8.3590456644694,0.001,0.45,16.87963447570801
20,0.8645833333333334,8.294880867004395,0.0003162278,0.45,16.817409133911134
21,0.8947368483794363,8.205633113258763,0.0003162278,0.45,16.66136054992676
22,0.9270833333333334,8.085883776346842,0.0003162278,0.45,15.013209533691406
23,0.8837209260740946,8.035466049992761,0.0003162278,0.47500001192092894,11.009966850280762
24,0.9186046580935634,7.910733921583309,0.0003162278,0.525,9.438383102416992
25,0.8645833333333334,7.926857789357503,0.0003162278,0.525,9.102430725097657
26,0.9186046580935634,7.8087603214175205,0.0003162278,0.55,8.857156944274902
27,0.9186046580935634,7.737936130789823,0.0003162278,0.5000000104308129,9.292574691772462
28,0.8720930190973504,7.713748022567394,0.0003162278,0.45,10.970085906982423
29,0.9479166666666666,7.577707608540853,0.0003162278,0.45,13.062173461914062
30,0.9069767469583556,7.558619876240575,0.0003162278,0.45,14.861775398254395
31,0.9418604609578155,7.454508371131364,0.0003162278,0.45,13.989762496948241
32,0.9651162860005401,7.339201760846515,0.0003162278,0.45,13.020510864257812
33,0.9583333333333334,7.298656304677327,0.000100000005,0.45,12.899608612060547
34,0.9418604720470517,7.341080477071363,0.000100000005,0.45,12.831633567810059
35,0.9418604720470517,7.329746323962544,0.000100000005,0.45,11.70545310974121
36,1.0,7.185973200687142,0.000100000005,0.475,10.606827926635741
